Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1.0,Amen Thompson,23.0,HOU,PG,71.0,71.0,2649.0,18.4,0.585,0.116,0.368,9.1,14.2,11.7,20.3,1.9,1.6,13.9,20.0,5.3,3.3,8.6,0.156,1.4,0.9,2.2,2.8,
2.0,Kevin Durant,37.0,HOU,SF,70.0,70.0,2557.0,20.9,0.638,0.326,0.336,1.6,14.7,8.2,20.0,1.2,2.2,13.7,27.1,6.4,2.8,9.2,0.173,4.1,0.1,4.2,4.0,AS
3.0,Desmond Bane,27.0,ORL,SG,73.0,73.0,2498.0,17.1,0.608,0.351,0.274,3.9,9.8,6.8,19.4,1.5,1.1,10.6,23.3,4.6,2.2,6.8,0.13,1.7,-0.4,1.3,2.1,
4.0,Toumani Camara,25.0,POR,PF,75.0,75.0,2490.0,10.8,0.571,0.664,0.164,5.0,12.0,8.4,10.7,1.5,1.1,14.0,16.1,1.5,2.2,3.7,0.072,-1.3,-0.2,-1.5,0.3,
5.0,Mikal Bridges,29.0,NYK,SF,74.0,74.0,2469.0,15.4,0.582,0.435,0.096,3.3,10.1,6.7,16.3,1.9,2.5,7.5,17.4,4.3,3.1,7.4,0.144,1.3,1.4,2.8,3.0,
6.0,Jamal Murray,28.0,DEN,PG,70.0,70.0,2461.0,22.0,0.62,0.406,0.293,1.4,12.1,7.0,31.9,1.2,0.9,10.0,28.3,7.3,1.5,8.8,0.172,5.5,-1.5,4.0,3.8,AS
7.0,Julius Randle,31.0,MIN,PF,74.0,74.0,2448.0,18.4,0.58,0.285,0.404,5.7,16.8,11.3,23.3,1.6,0.6,13.3,26.5,3.9,3.0,6.9,0.136,1.3,0.0,1.3,2.0,
8.0,Jabari Smith Jr.,22.0,HOU,PF,69.0,69.0,2432.0,13.5,0.568,0.492,0.218,4.8,17.0,11.0,7.5,1.1,2.4,9.1,18.0,3.0,2.9,5.9,0.116,-0.6,-0.1,-0.7,0.8,
9.0,Scottie Barnes,24.0,TOR,PF,71.0,71.0,2413.0,19.2,0.578,0.204,0.26,6.5,19.4,12.9,24.9,2.0,4.4,14.2,23.5,2.9,3.9,6.8,0.136,1.7,2.2,3.8,3.5,AS
10.0,Derrick White,31.0,BOS,SG,70.0,70.0,2398.0,16.5,0.526,0.572,0.19,3.6,10.5,7.1,23.1,1.8,4.0,10.0,22.9,3.2,3.3,6.5,0.13,2.3,1.0,3.4,3.3,
