Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
1.0,Oklahoma City Thunder*,25.2,58.0,16.0,59,15,11.07,-0.32,10.75,118.5,107.5,11.0,99.4,0.265,0.424,0.597,,0.558,11.2,22.1,0.217,,0.516,14.6,74.4,0.188,,Paycom Center,673827,18203
2.0,San Antonio Spurs*,25.4,56.0,18.0,54,20,8.14,0.01,8.15,119.1,111.0,8.1,100.1,0.277,0.424,0.594,,0.558,11.9,26.0,0.217,,0.522,11.6,77.5,0.182,,Frost Bank Center,649817,18709
3.0,Detroit Pistons*,26.1,54.0,20.0,54,20,8.03,-0.75,7.28,117.6,109.5,8.1,99.4,0.292,0.345,0.579,,0.543,12.9,30.8,0.223,,0.516,14.9,74.0,0.252,,Little Caesars Arena,746381,19622
4.0,Boston Celtics,26.9,49.0,24.0,52,21,7.21,-0.52,6.69,120.2,112.6,7.6,94.7,0.207,0.467,0.578,,0.547,11.1,29.4,0.167,,0.521,11.4,75.6,0.192,,TD Garden,708772,19156
5.0,New York Knicks,28.2,48.0,26.0,51,23,6.54,-0.61,5.93,119.7,113.1,6.6,97.3,0.239,0.429,0.589,,0.556,12.1,29.3,0.189,,0.539,13.0,77.0,0.206,,Madison Square Garden (IV),712810,19800
6.0,Charlotte Hornets,24.0,39.0,35.0,47,27,4.59,-0.57,4.03,119.2,114.5,4.7,97.1,0.249,0.483,0.589,,0.552,13.6,30.5,0.203,,0.54,11.5,76.8,0.189,,Spectrum Center,688881,18618
7.0,Denver Nuggets,27.8,47.0,28.0,47,28,4.43,-0.32,4.11,122.0,117.5,4.5,98.4,0.302,0.407,0.615,,0.575,11.6,23.3,0.243,,0.544,10.4,75.2,0.198,,Ball Arena,713627,19823
8.0,Cleveland Cavaliers,27.1,46.0,28.0,46,28,4.23,-0.04,4.19,119.0,114.8,4.2,99.9,0.263,0.445,0.593,,0.559,12.2,26.8,0.204,,0.542,13.3,74.1,0.212,,Rocket Arena,738416,19432
9.0,Houston Rockets,26.5,44.0,29.0,45,28,3.92,-0.17,3.75,117.4,113.3,4.1,96.0,0.262,0.346,0.572,,0.538,13.7,34.9,0.199,,0.531,12.1,74.2,0.189,,Toyota Center,631990,18057
10.0,Minnesota Timberwolves,27.9,45.0,29.0,45,29,3.49,-0.26,3.23,116.7,113.2,3.5,100.4,0.29,0.42,0.592,,0.558,13.0,26.1,0.218,,0.529,12.9,74.1,0.217,,Target Center,675531,17321
11.0,Miami Heat,26.3,39.0,35.0,43,31,2.58,0.25,2.83,115.9,113.4,2.5,103.6,0.271,0.404,0.576,,0.537,11.7,25.4,0.215,,0.536,13.1,74.8,0.197,,Kaseya Center,728778,19697
12.0,Los Angeles Lakers,28.1,48.0,26.0,41,33,1.73,-0.1,1.63,118.3,116.5,1.8,98.5,0.32,0.399,0.609,,0.572,13.1,24.0,0.245,,0.557,13.1,74.5,0.193,,Crypto.com Arena,678268,18841
13.0,Atlanta Hawks,25.2,42.0,33.0,42,33,1.84,-0.22,1.62,115.9,114.1,1.8,101.6,0.235,0.43,0.583,,0.552,12.3,24.1,0.183,,0.547,13.9,74.1,0.206,,State Farm Arena,618730,16282
